City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Polyarnyye Zori,RU,2022-10-01 17:14:45,67.3661,32.4981,31.86,99,100,3.56
168,Ndungu,TZ,2022-10-01 17:14:45,-4.3667,38.05,71.64,79,73,4.99
169,Aban,RU,2022-10-01 17:14:45,56.67,96.06,26.28,96,100,5.7
170,Namatanai,PG,2022-10-01 17:14:46,-3.6667,152.4333,78.48,82,13,7.07
171,Miami,US,2022-10-01 17:13:57,25.7743,-80.1937,85.01,73,100,6.91
172,Muzaffarabad,PK,2022-10-01 17:14:46,34.37,73.4711,66.83,79,7,5.79
173,Isoka,ZM,2022-10-01 17:14:47,-10.1606,32.6335,75.38,31,13,6.64
174,Nome,US,2022-10-01 17:14:47,64.5011,-165.4064,32.07,74,0,6.91
175,Westport,US,2022-10-01 17:13:26,41.1415,-73.3579,60.03,93,100,12.66
176,Hithadhoo,MV,2022-10-01 17:14:48,-0.6,73.0833,81.73,72,96,13.0
177,Gnjilane,XK,2022-10-01 17:14:48,42.4604,21.4699,66.52,89,71,3.89
178,Baza,ES,2022-10-01 17:14:49,37.4907,-2.7726,71.58,24,53,5.99
179,Shetpe,KZ,2022-10-01 17:14:49,44.1667,52.1167,69.87,22,78,8.55
180,Weatherford,US,2022-10-01 17:13:25,32.7593,-97.7972,78.06,39,0,1.99
181,Vestmanna,FO,2022-10-01 17:13:34,62.1564,-7.1664,49.12,93,100,12.66
182,Esna,EG,2022-10-01 17:15:49,25.2934,32.554,94.39,13,0,10.11
183,Tessalit,ML,2022-10-01 17:15:50,20.1986,1.0114,89.96,30,78,8.34
184,Sinnamary,GF,2022-10-01 17:15:50,5.3833,-52.95,86.36,66,75,11.83
185,Asnaes,DK,2022-10-01 17:15:50,55.8123,11.5013,53.28,99,100,10.63
186,Fianarantsoa,MG,2022-10-01 17:15:51,-21.4333,47.0833,56.57,96,3,5.19
187,Basco,PH,2022-10-01 17:15:51,20.4487,121.9702,83.82,77,16,14.52
188,Kondinskoye,RU,2022-10-01 17:15:51,59.6481,67.41,27.75,71,48,8.05
189,Narsaq,GL,2022-10-01 17:15:52,60.9167,-46.05,39.42,98,100,5.37
190,Qaanaaq,GL,2022-10-01 17:15:52,77.484,-69.3632,9.45,75,0,5.84
191,Foldeak,HU,2022-10-01 17:15:52,46.3167,20.5,62.08,83,100,16.11
192,Valentin Gomez Farias,MX,2022-10-01 17:15:53,28.2167,-106.5833,70.47,44,6,9.17
193,Sabha,LY,2022-10-01 17:15:53,27.0377,14.4283,95.23,11,0,10.71
194,Los Llanos De Aridane,ES,2022-10-01 17:15:53,28.6585,-17.9182,71.35,74,75,13.8
195,Port Blair,IN,2022-10-01 17:15:54,11.6667,92.75,81.46,82,100,14.92
196,Cidreira,BR,2022-10-01 17:15:54,-30.1811,-50.2056,66.04,72,74,13.71
197,Norrtalje,SE,2022-10-01 17:15:54,59.758,18.705,55.02,86,76,8.21
198,Caiaponia,BR,2022-10-01 17:15:55,-16.9567,-51.8103,98.38,19,14,4.52
199,Mareeba,AU,2022-10-01 17:15:55,-17.0,145.4333,66.92,88,21,2.21
200,Pevek,RU,2022-10-01 17:15:55,69.7008,170.3133,33.4,81,100,5.57
201,Esperance,AU,2022-10-01 17:15:55,-33.8667,121.9,56.03,76,100,14.03
202,Llanes,ES,2022-10-01 17:15:56,43.4198,-4.7549,70.9,73,73,0.98
203,Andenes,NO,2022-10-01 17:15:56,69.3143,16.1194,42.93,70,0,4.61
204,Zelenets,RU,2022-10-01 17:15:56,61.8849,50.7489,46.65,98,100,7.27
205,Hofn,IS,2022-10-01 17:12:34,64.2539,-15.2082,46.71,90,100,4.21
206,Moree,AU,2022-10-01 17:15:57,-29.4667,149.85,51.78,92,81,6.15
207,Jasper,US,2022-10-01 17:15:33,37.2001,-94.3502,75.67,36,0,6.91
208,Severo-Kurilsk,RU,2022-10-01 17:12:32,50.6789,156.125,44.6,87,100,13.98
209,Dudinka,RU,2022-10-01 17:15:57,69.4058,86.1778,29.62,95,100,9.08
210,Sambava,MG,2022-10-01 17:15:58,-14.2667,50.1667,69.8,80,13,10.45
211,Raton,US,2022-10-01 17:15:58,36.9034,-104.4391,72.32,37,0,6.91
212,Upernavik,GL,2022-10-01 17:15:58,72.7868,-56.1549,22.86,80,42,6.17
213,Husavik,IS,2022-10-01 17:12:12,66.0449,-17.3389,47.34,89,100,20.02
214,Necochea,AR,2022-10-01 17:15:59,-38.5473,-58.7368,71.1,40,60,6.91
215,Cabo San Lucas,MX,2022-10-01 17:11:39,22.8909,-109.9124,91.62,60,20,2.3
216,Haines Junction,CA,2022-10-01 17:15:59,60.7522,-137.5108,39.15,93,81,8.05
217,Faanui,PF,2022-10-01 17:16:00,-16.4833,-151.75,77.14,70,65,8.37
218,Syracuse,IT,2022-10-01 17:14:53,37.0881,15.2792,80.19,78,72,10.42
219,Okhotsk,RU,2022-10-01 17:16:00,59.3833,143.3,33.87,65,58,10.89
220,Henties Bay,NA,2022-10-01 17:16:00,-22.116,14.2845,57.9,85,6,8.23
221,Matehuala,MX,2022-10-01 17:16:01,23.65,-100.65,69.64,42,1,4.43
222,Airai,TL,2022-10-01 17:16:01,-8.9266,125.4092,61.29,93,97,0.36
223,Provideniya,RU,2022-10-01 17:16:01,64.3833,-173.3,37.62,85,82,16.31
224,Nouadhibou,MR,2022-10-01 17:16:02,20.931,-17.0347,75.18,69,0,18.41
225,Hualmay,PE,2022-10-01 17:16:02,-11.0964,-77.6139,68.0,68,43,11.18
226,Srednekolymsk,RU,2022-10-01 17:16:02,67.45,153.6833,25.88,88,100,8.97
227,Klaksvik,FO,2022-10-01 17:17:03,62.2266,-6.589,50.92,87,68,17.25
228,Bouillon,BE,2022-10-01 17:17:03,49.7932,5.067,56.86,91,100,10.0
229,Hofu,JP,2022-10-01 17:17:04,34.05,131.5667,68.99,81,44,3.65
230,Stokmarknes,NO,2022-10-01 17:17:04,68.5646,14.9108,39.18,75,5,4.61
