City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Zeya,RU,53.75,127.2667,34.3,99,100,6.42,snow
143,Kapaa,US,22.0752,-159.319,84.18,71,3,4.0,clear sky
144,Thompson,CA,55.7435,-97.8558,53.76,40,20,8.05,few clouds
145,Nabire,ID,-3.3667,135.4833,76.1,90,97,2.55,overcast clouds
146,Pacific Grove,US,36.6177,-121.9166,68.34,78,40,15.01,scattered clouds
147,Udon Thani,TH,17.3333,102.8333,75.11,100,75,0.0,broken clouds
148,Houston,US,29.7633,-95.3633,88.0,34,0,5.01,clear sky
149,Say,NE,13.1007,2.3689,84.76,66,76,7.47,broken clouds
150,Punta Alta,AR,-38.8759,-62.0736,58.89,62,1,11.7,clear sky
151,The Pas,CA,53.8251,-101.2541,59.02,44,0,9.22,clear sky
152,Bahir Dar,ET,11.5936,37.3908,60.42,90,89,1.79,light rain
153,Lakes Entrance,AU,-37.8811,147.981,49.15,72,6,3.2,clear sky
154,Kamenka,RU,51.3223,42.7678,59.79,91,100,9.91,overcast clouds
155,Kutum,SD,14.2,24.6667,80.92,22,41,5.59,scattered clouds
156,Lewisporte,CA,49.2499,-55.0482,56.91,81,100,7.18,overcast clouds
157,Atar,MR,20.5169,-13.0499,83.37,27,0,6.73,clear sky
158,Cherskiy,RU,68.75,161.3,30.38,95,100,1.39,light snow
159,San Jose De Guanipa,VE,8.8872,-64.1651,81.79,67,100,5.57,overcast clouds
160,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,85,79,10.38,broken clouds
161,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,78,40,12.66,scattered clouds
162,Batagay-Alyta,RU,67.8006,130.4114,6.71,88,81,4.5,broken clouds
163,Robertson,US,36.5167,-86.8667,76.69,31,0,10.36,haze
164,Matay,EG,28.419,30.7792,82.83,36,0,13.11,clear sky
165,Sasebo,JP,33.1592,129.7228,68.04,82,5,3.62,clear sky
166,Haapiti,PF,-17.5667,-149.8667,80.33,67,35,7.87,scattered clouds
167,Kroya,ID,-7.6331,109.2461,76.03,92,90,3.6,overcast clouds
168,Partizanskoye,RU,55.5006,94.39,28.06,93,98,10.0,overcast clouds
169,Rivera,UY,-30.9053,-55.5508,56.62,87,27,6.35,scattered clouds
170,Mayskiy,RU,47.6931,40.1025,60.21,77,96,4.59,overcast clouds
171,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,75,28.77,broken clouds
172,Hanzhong,CN,33.0728,107.0303,66.0,93,50,0.87,scattered clouds
173,Qujing,CN,25.4833,103.7833,60.82,93,96,2.98,overcast clouds
174,Bethel,US,41.3712,-73.414,58.95,75,100,11.39,overcast clouds
175,Soyo,AO,-6.1349,12.3689,75.38,90,73,8.48,broken clouds
176,Severo-Kurilsk,RU,50.6789,156.125,46.33,74,90,21.9,light rain
177,Ligayan,PH,4.6533,119.4706,82.56,75,98,4.54,overcast clouds
178,Leeton,AU,-34.5667,146.4,51.89,73,0,5.79,clear sky
179,Kargasok,RU,59.0556,80.8572,25.75,86,71,3.78,broken clouds
180,Yaan,NG,7.3833,8.5667,73.13,95,54,4.97,moderate rain
181,Esperance,AU,-33.8667,121.9,55.15,81,100,14.74,overcast clouds
182,Salinas,US,36.6777,-121.6555,72.41,66,100,14.97,overcast clouds
183,Hanko,FI,59.8333,22.95,50.05,76,79,18.39,broken clouds
184,Egersund,NO,58.4513,5.9997,47.93,82,53,6.08,broken clouds
185,Yar-Sale,RU,66.8333,70.8333,33.04,73,100,14.67,overcast clouds
186,Leningradskiy,RU,69.3833,178.4167,28.67,76,100,9.17,overcast clouds
187,Sibolga,ID,1.7427,98.7792,75.24,94,100,3.83,overcast clouds
188,Avera,US,33.194,-82.5271,77.38,42,30,8.19,scattered clouds
189,El Escorial,ES,40.5914,-4.1474,62.98,43,5,0.78,clear sky
190,Arnedo,ES,42.2167,-2.1,54.9,58,20,0.94,few clouds
191,Mweka,CD,-4.85,21.5667,69.46,92,54,0.18,light rain
192,Imbituba,BR,-28.24,-48.6703,63.37,91,34,7.99,scattered clouds
193,Krasnovishersk,RU,60.4078,57.082,42.13,83,100,6.26,overcast clouds
194,Coeneo,MX,19.8167,-101.5833,70.72,57,86,3.78,overcast clouds
195,Waverly,US,42.7392,-84.6208,68.16,57,4,12.8,clear sky
196,Clarence Town,AU,-32.5833,151.7833,56.8,82,66,1.59,broken clouds
197,Tuatapere,NZ,-46.1333,167.6833,47.05,76,26,3.56,scattered clouds
198,Ilulissat,GL,69.2167,-51.1,21.79,82,87,4.54,overcast clouds
199,Mar Del Plata,AR,-38.0023,-57.5575,60.82,74,0,14.97,clear sky
200,Cockburn Town,TC,21.4612,-71.1419,82.87,77,82,17.49,broken clouds
201,Abu Dhabi,AE,24.4667,54.3667,86.11,78,0,3.44,clear sky
202,Belaya Gora,RU,68.5333,146.4167,23.25,88,98,4.29,overcast clouds
203,Port Hedland,AU,-20.3167,118.5667,73.45,78,0,11.5,clear sky
204,Ampanihy,MG,-24.7,44.75,67.87,74,0,0.89,clear sky
205,Hervey Bay,AU,-25.2986,152.8535,62.02,91,58,14.0,broken clouds
206,Ust-Maya,RU,60.4167,134.5333,22.53,81,100,3.78,overcast clouds
207,York,US,40.1254,-77.0,58.73,94,100,11.52,overcast clouds
